Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1,GM,FPR,AUC,MCC,Kappa,Balanced Accuracy,Training Time (s)
1,Logistic Regression,0.7781014809419762,0.2897196261682243,0.6681034482758621,0.7920656634746922,0.4041720990873533,0.7274488305223609,0.2079343365253078,0.7888965871031652,0.3317794965180614,0.29307948458629707,0.7300845558752771,1.7273039817810059
2,Logistic Regression,0.7793153678077204,0.28949858088930935,0.6594827586206896,0.7945280437756498,0.40236686390532544,0.7238629332343697,0.20547195622435022,0.7797732204349261,0.3286463250675403,0.29142732456199283,0.7270054011981697,1.5764312744140625
3,Logistic Regression,0.774217042971595,0.28345724907063197,0.6573275862068966,0.7890560875512996,0.3961038961038961,0.72018631853983,0.21094391244870042,0.7830696613047785,0.3212579407435135,0.28328118229314403,0.7231918368790982,1.771653413772583
4,Logistic Regression,0.7737314882252974,0.2845303867403315,0.665948275862069,0.7874145006839945,0.3987096774193548,0.7241390260987859,0.21258549931600548,0.7850104957781027,0.32531000665868626,0.2860026760197164,0.7266813882730317,1.6478028297424316
5,Logistic Regression,0.7887836853605243,0.30592734225621415,0.6896551724137931,0.8013679890560875,0.423841059602649,0.7434161544245395,0.19863201094391245,0.8001350299542431,0.35666257171383253,0.3172930778079337,0.7455115807349404,1.8208632469177246
6,Logistic Regression,0.7829570284049526,0.3020257826887661,0.7068965517241379,0.7926128590971272,0.4232258064516129,0.7485287549239302,0.20738714090287277,0.8134732180763242,0.35842247790678955,0.31511415489444905,0.7497547054106326,1.5328607559204102
7,Logistic Regression,0.767419276523428,0.2750455373406193,0.6508620689655172,0.7822161422708618,0.3866837387964149,0.7135228214546739,0.21778385772913816,0.7728772583612435,0.30966525720182864,0.27127422051681516,0.7165391056181896,1.8295583724975586
8,Logistic Regression,0.7764020393299345,0.2939585211902615,0.7025862068965517,0.7857729138166895,0.41449459631277813,0.7430162925538839,0.21422708618331054,0.7999422142553894,0.34809113510280126,0.3039312591570512,0.7441795603566206,1.6601452827453613
9,Logistic Regression,0.7887323943661971,0.3001968503937008,0.6573275862068966,0.8054187192118226,0.41216216216216217,0.727615243508104,0.19458128078817735,0.7882056508691467,0.33940518379695,0.3045798432855984,0.7313731527093597,1.6171364784240723
10,Logistic Regression,0.7838756677999029,0.2994350282485876,0.6853448275862069,0.7963875205254516,0.4167758846657929,0.7387828286758717,0.20361247947454844,0.7839168341732253,0.3481850648548996,0.30829520327517135,0.7408661740558292,1.6714956760406494
1,Decision Tree,0.8582180140810877,0.34615384615384615,0.29094827586206895,0.9302325581395349,0.3161592505854801,0.5202399051797733,0.06976744186046512,0.6285847799424501,0.2388480373894857,0.2377312715443073,0.6105904170008019,0.6463115215301514
2,Decision Tree,0.85360524399126,0.3309002433090024,0.29310344827586204,0.9247606019151847,0.31085714285714283,0.5206251254511276,0.07523939808481532,0.6384065875748854,0.22982511195762306,0.22929720481196458,0.6089320250955234,0.652111291885376
3,Decision Tree,0.8557902403495994,0.34813084112149534,0.32112068965517243,0.9236662106703146,0.33408071748878926,0.5446176003230443,0.07633378932968536,0.6400997688570216,0.25362785385966014,0.25336805653037375,0.6223934501627435,1.000899076461792
4,Decision Tree,0.8594319009468318,0.3763440860215054,0.3771551724137931,0.920656634746922,0.3767491926803014,0.5892626000450715,0.07934336525307797,0.6733604769092881,0.29753211191192286,0.29753189293411464,0.6489059035803576,0.6283719539642334
5,Decision Tree,0.8570041272153436,0.36616702355460384,0.36853448275862066,0.919015047879617,0.3673469387755102,0.5819697030926126,0.08098495212038304,0.6702571465635172,0.28674213810620697,0.2867402458919278,0.6437747653191188,0.6519374847412109
6,Decision Tree,0.85773245933479,0.36681222707423583,0.3620689655172414,0.920656634746922,0.3644251626898048,0.5773570778464596,0.07934336525307797,0.6603533775178074,0.2843382016329096,0.2843305677894288,0.6413628001320817,0.6561970710754395
7,Decision Tree,0.8548191308570041,0.35434782608695653,0.35129310344827586,0.9187414500683995,0.3528138528138528,0.5681087354205154,0.08125854993160055,0.6533663144487948,0.2710577944381681,0.27105457231503527,0.6350172767583376,0.6737589836120605
8,Decision Tree,0.8642874484098082,0.3877068557919622,0.35344827586206895,0.9291381668946649,0.3697857948139797,0.5730639433139748,0.07086183310533516,0.664657531015614,0.29431868773138864,0.2939237518203722,0.6412932213783669,0.6640398502349854
9,Decision Tree,0.8557552209810587,0.3474178403755869,0.31896551724137934,0.9239189928845101,0.3325842696629214,0.5428612156477399,0.07608100711548987,0.6514288781307211,0.252178138612001,0.2518891687657431,0.6214422550629447,0.8646881580352783
10,Decision Tree,0.8511413307430792,0.33407572383073497,0.3232758620689655,0.9181718664477285,0.32858707557502737,0.5448144653488566,0.08182813355227149,0.6382524819281655,0.24494544031002438,0.24490362428217005,0.620723864258347,0.6527905464172363
1,Random Forest,0.8662296673949987,0.4276206322795341,0.5538793103448276,0.9058823529411765,0.48262910798122066,0.7083427792394079,0.09411764705882353,0.79065639888674,0.41176580950674235,0.40726956101151035,0.7298808316430021,12.724924564361572
2,Random Forest,0.8659868900218499,0.4269102990033223,0.5538793103448276,0.905608755129959,0.4821763602251407,0.708235803058289,0.09439124487004104,0.7796502783150149,0.4112372883936269,0.4066882765452098,0.7297440327373933,12.440699577331543
3,Random Forest,0.8652585579024035,0.42528735632183906,0.5581896551724138,0.9042407660738714,0.4827586206896552,0.7104490420907144,0.09575923392612859,0.7950994150667485,0.41189533475010837,0.4069206791480685,0.7312152106231427,12.542232751846313
4,Random Forest,0.8657441126487011,0.428341384863124,0.5732758620689655,0.9028727770177839,0.49032258064516127,0.7194408728891284,0.09712722298221614,0.7814401622718053,0.4207164813832264,0.41487073532936347,0.7380743195433748,13.094743490219116
5,Random Forest,0.8749696528283564,0.4574290484140234,0.5905172413793104,0.9110807113543091,0.51552210724365,0.7334908781592627,0.08891928864569083,0.8010940964196424,0.4498561822529703,0.4450711225924594,0.7507989763668097,12.748416662216187
6,Random Forest,0.8752124302015052,0.4584717607973422,0.5948275862068966,0.9108071135430916,0.5178236397748592,0.7360524416431944,0.08919288645690834,0.8085068871173169,0.4525380710988693,0.4475321995366628,0.7528173498749942,13.125258684158325
7,Random Forest,0.8667152221412965,0.43089430894308944,0.5711206896551724,0.9042407660738714,0.4911955514365153,0.7186310666360248,0.09575923392612859,0.7889576159252795,0.421703338022798,0.41623200258358906,0.7376807278645219,12.64888048171997
